Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;1997;janeiro;1;2
África;1;Angola;6;Amazonas;4;Aérea;1;1997;janeiro;1;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1997;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1997;janeiro;1;1
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1997;janeiro;1;3
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1997;janeiro;1;26
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1997;janeiro;1;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1997;janeiro;1;7
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1997;janeiro;1;83
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1997;janeiro;1;926
América do Norte;3;México;148;Amazonas;4;Aérea;1;1997;janeiro;1;15
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1997;janeiro;1;18
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1997;janeiro;1;35
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1997;janeiro;1;10
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1997;janeiro;1;30
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1997;janeiro;1;8
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1997;janeiro;1;5
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1997;janeiro;1;0
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1997;janeiro;1;2
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1997;janeiro;1;15
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1997;janeiro;1;0
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1997;janeiro;1;0
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1997;janeiro;1;94
Ásia;5;China;43;Amazonas;4;Aérea;1;1997;janeiro;1;0
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1997;janeiro;1;53
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1997;janeiro;1;21
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1997;janeiro;1;4
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1997;janeiro;1;508
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1997;janeiro;1;21
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1997;janeiro;1;1
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1997;janeiro;1;5
