Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;2006;janeiro;1;0
África;1;Angola;6;Amazonas;4;Aérea;1;2006;janeiro;1;0
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2006;janeiro;1;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;2006;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;2006;janeiro;1;20
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2006;janeiro;1;0
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2006;janeiro;1;0
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;2006;janeiro;1;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2006;janeiro;1;13
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2006;janeiro;1;931
América do Norte;3;México;148;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2006;janeiro;1;5
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2006;janeiro;1;5
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2006;janeiro;1;10
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2006;janeiro;1;0
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2006;janeiro;1;5
Ásia;5;China;43;Amazonas;4;Aérea;1;2006;janeiro;1;7
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2006;janeiro;1;0
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2006;janeiro;1;0
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2006;janeiro;1;8
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2006;janeiro;1;3
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;França;74;Amazonas;4;Aérea;1;2006;janeiro;1;2
Europa;6;Reino Unido;81;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2006;janeiro;1;2
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Itália;120;Amazonas;4;Aérea;1;2006;janeiro;1;0
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2006;janeiro;1;0
