Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;Amazonas;4;Aérea;1;1992;janeiro;1;2
África;1;Angola;6;Amazonas;4;Aérea;1;1992;janeiro;1;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1992;janeiro;1;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1992;janeiro;1;3
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1992;janeiro;1;3
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1992;janeiro;1;13
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1992;janeiro;1;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1992;janeiro;1;7
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1992;janeiro;1;96
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1992;janeiro;1;748
América do Norte;3;México;148;Amazonas;4;Aérea;1;1992;janeiro;1;46
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1992;janeiro;1;8
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1992;janeiro;1;11
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1992;janeiro;1;3
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1992;janeiro;1;46
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1992;janeiro;1;1
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1992;janeiro;1;1
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1992;janeiro;1;7
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1992;janeiro;1;0
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1992;janeiro;1;39
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1992;janeiro;1;0
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1992;janeiro;1;1
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1992;janeiro;1;10
Ásia;5;China;43;Amazonas;4;Aérea;1;1992;janeiro;1;2
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1992;janeiro;1;30
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1992;janeiro;1;19
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1992;janeiro;1;11
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;1992;janeiro;1;569
Europa;6;Áustria;15;Amazonas;4;Aérea;1;1992;janeiro;1;9
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;1992;janeiro;1;6
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;1992;janeiro;1;1
Europa;6;Espanha;67;Amazonas;4;Aérea;1;1992;janeiro;1;3
Europa;6;França;74;Amazonas;4;Aérea;1;1992;janeiro;1;440
Europa;6;Grécia;81;Amazonas;4;Aérea;1;1992;janeiro;1;2
Europa;6;Holanda;92;Amazonas;4;Aérea;1;1992;janeiro;1;8
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;1992;janeiro;1;8
Europa;6;Itália;120;Amazonas;4;Aérea;1;1992;janeiro;1;16
Europa;6;Noruega;164;Amazonas;4;Aérea;1;1992;janeiro;1;0
Europa;6;Portugal;179;Amazonas;4;Aérea;1;1992;janeiro;1;2
Europa;6;Suécia;215;Amazonas;4;Aérea;1;1992;janeiro;1;2
Europa;6;Suíça;216;Amazonas;4;Aérea;1;1992;janeiro;1;11
Europa;6;Outros países;998;Amazonas;4;Aérea;1;1992;janeiro;1;4
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;1992;janeiro;1;10
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;1992;janeiro;1;0
Ásia;5;Arábia Saudita;9;Amazonas;4;Aérea;1;1992;janeiro;1;0
Ásia;5;Iraque;116;Amazonas;4;Aérea;1;1992;janeiro;1;0
Ásia;5;Israel;119;Amazonas;4;Aérea;1;1992;janeiro;1;6
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;1992;janeiro;1;0
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;1992;janeiro;1;10
África;1;África do Sul;2;Amazonas;4;Aérea;1;1992;fevereiro;2;0
África;1;Angola;6;Amazonas;4;Aérea;1;1992;fevereiro;2;0
África;1;Nigéria;162;Amazonas;4;Aérea;1;1992;fevereiro;2;0
África;1;Outros países;998;Amazonas;4;Aérea;1;1992;fevereiro;2;0
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;1992;fevereiro;2;5
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;1992;fevereiro;2;11
América Central e Caribe;2;Porto Rico;178;Amazonas;4;Aérea;1;1992;fevereiro;2;0
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;1992;fevereiro;2;16
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;1992;fevereiro;2;55
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;1992;fevereiro;2;1176
América do Norte;3;México;148;Amazonas;4;Aérea;1;1992;fevereiro;2;44
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;1992;fevereiro;2;9
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;1992;fevereiro;2;22
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;1992;fevereiro;2;5
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;1992;fevereiro;2;116
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;1992;fevereiro;2;35
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;1992;fevereiro;2;0
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;1992;fevereiro;2;8
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;1992;fevereiro;2;0
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;1992;fevereiro;2;54
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;1992;fevereiro;2;9
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;1992;fevereiro;2;1
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;1992;fevereiro;2;37
Ásia;5;China;43;Amazonas;4;Aérea;1;1992;fevereiro;2;1
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;1992;fevereiro;2;27
Ásia;5;Japão;122;Amazonas;4;Aérea;1;1992;fevereiro;2;52
